University Name,Qualification Type,Course Name,Campus Location,Class Timings
Cecos College London,BSc (Hons) Top Up,BSc (Hons) Business Management Top Up,London,weekend
Regent College London (Awarding body is University Of Bolton),BSc (Hons) Top Up,BSc (Hons) Business Management Top Up,London,weekend
Cecos College London,Other,FdSc Leadership Principles,Birmingham,weekday
Cecos College London,Other,FdSc Leadership Principles,Bradford,weekday
Cecos College London,Other,FdSc Leadership Principles,Leicester,weekday
Solent University ,BSc (Hons) with Foundation Year,BSc Cyber Security with foundation year,Manchester,Weekend Only
Solent University ,BSc (Hons),BSc Business Management ,Manchester,Weekend 
LCCA,BA (Hons) Top-Up,BA (Hons) Business Management and Entrepreneurship Top-Up (Weekend),London,Weekend
LCCA,BA (Hons) with Foundation Year,BA (Hons) Fashion Management and Marketing with foundation (Weekends),London,Weekend
LCCA,BA (Hons) Top-Up,BA (Hons) Hospitality Management and Leadership Top-Up (Weekend),London,Weekend
LCCA,BA (Hons) with Foundation Year,BA (Hons) Hospitality Management and Leadership with foundation (Weekend),London,Weekend
Regent College London (Awarding body is University Of Bolton),MSc,"MSc International Management (Online)",Online,Weekend
Northumbria University,MSc,MSc Strategic Leadership (Part Time),London,Weekend
London Met,BSc (Hons),BSc Health and Social Care,Manchester,Weekend
UWTSD,BSc (Hons),BSc Health and Social Care (Level 5&6),Birmingham,Weekend
Regent College London (Awarding body is University Of Bolton),BEng (Hons),"BEng (Hons) Software Engineering with Foundation Year",London,Weekend
LCCA,BA (Hons),BA (Hons) Hospitality Management and Leadership year 2 (Weekend),London,Weekend
Arden,BA (Hons) with Foundation Year,BA (Hons) Project Management with Foundation Year (Weekend),London,Weekend
Bath Spa University,Other,Health & Social Care (Blended),Leicester,Weekend
Bath Spa University,CertHE,CertHE Business  (Blended),Leeds,Weekend
Solent University ,BSc (Hons) ,BSc Cyber Security,London,Weekend
London Met,BSc (Hons) with Foundation Year,BSc Health and Social Care with foundation year,Birmingham,Weekend
London Met,BSc (Hons) with Foundation Year,BSc Business Management with Foundation,Birmingham,Weekend
Solent University ,BSc (Hons) with Foundation Year,BSc Computer Science with foundation year,London,Weekend
Regent College London (Awarding body is University Of Bolton),BSc (Hons),BSc (Hons) Business Management with Foundation Year,London,Weekend
UWTSD,BA (Hons),BA Business Management ,Birmingham,Weekend
Regent College London (Awarding body is University Of Bolton),BSc (Hons),BSc (Hons) Health and Social Care with Foundation Year – Online,Online,Weekend
Bath Spa University,CertHE,CertHE Business  (Blended),London,Weekend
UWTSD,CertHE,CertHE Skills for the Workplace (Health and Social Care),Birmingham,Weekend
LCCA,BA (Hons),BA (Hons) Hospitality Management and Leadership (Weekend),London,Weekend
Solent University ,BSc (Hons) with Foundation Year,BSc Cyber Security with foundation year,London,Weekend
Regent College London (Awarding body is University Of Bolton),BEng (Hons),BEng (Hons) Software Engineering - Part Time,London,Weekend
Bath Spa University,BA (Hons),BA Business Management Year 1 (Blended),Birmingham,Weekend
UWTSD,CertHE,Certificate of Higher Education Business Skills for the Workplace - Weekend,London,Weekend
London Met,BSc (Hons) ,BSc Business Management,Birmingham,Weekend
LCCA,BA (Hons) with Foundation Year,BA (Hons) Business Management and Entrepreneurship with foundation (Weekend),London,Weekend
London Met,BSc (Hons),BSc Health and Social Care,Birmingham,Weekend
Regent College London (Awarding body is University Of Bolton),BSc (Hons),BA (Hons) Marketing with Foundation Year,London,Weekend
London Met,BSc (Hons) ,BSc Business Management,London,Weekend
Regent College London (Awarding body is University Of Bolton),MSc,Master of Business Administration (MBA Online),Online,Weekend
London Met,BSc (Hons) with Foundation Year,BSc Health and Social Care with foundation year,Manchester,Weekend
Bath Spa University,BA (Hons),BA Business Management Year 1 (Blended),Manchester,Weekend
London Met,BSc (Hons) ,BSc Business Management,Manchester,Weekend
London Met,BSc (Hons) with Foundation Year,BSc Business Management with Foundation,London,Weekend
Solent University ,BSc (Hons) with Foundation Year,BSc Cyber Security with foundation year,Birmingham,Weekend
